Date, Open, High, Low, Close
06/09/23, 7599.74, 7621.72, 7546.50, 7562.36
06/08/23, 7624.34, 7638.61, 7587.99, 7599.74
06/07/23, 7628.10, 7642.40, 7604.42, 7624.34
06/06/23, 7599.99, 7636.06, 7556.16, 7628.10
06/05/23, 7607.28, 7654.84, 7594.13, 7599.99
06/02/23, 7490.27, 7614.89, 7490.02, 7607.28
06/01/23, 7446.14, 7498.59, 7445.30, 7490.27
05/31/23, 7522.07, 7522.07, 7446.14, 7446.14
05/30/23, 7627.20, 7628.12, 7516.52, 7522.07
05/26/23, 7570.87, 7643.56, 7556.92, 7627.20
05/25/23, 7627.10, 7629.08, 7569.17, 7570.87
05/24/23, 7762.95, 7762.95, 7590.24, 7627.10
05/23/23, 7770.99, 7800.85, 7747.09, 7762.95
05/22/23, 7756.87, 7783.40, 7750.53, 7770.99
05/19/23, 7742.30, 7790.92, 7742.13, 7756.87
05/18/23, 7723.23, 7776.58, 7723.23, 7742.30
05/17/23, 7751.08, 7758.15, 7713.03, 7723.23
05/16/23, 7777.70, 7804.93, 7741.29, 7751.08
05/15/23, 7754.62, 7794.89, 7754.62, 7777.70
05/12/23, 7730.58, 7772.79, 7729.01, 7754.62
05/11/23, 7741.33, 7784.28, 7679.61, 7730.58
05/10/23, 7764.09, 7778.98, 7727.12, 7741.33
05/09/23, 7778.38, 7792.35, 7735.08, 7764.09
05/05/23, 7702.64, 7781.54, 7702.64, 7778.38
05/04/23, 7788.37, 7788.37, 7691.25, 7702.64
05/03/23, 7773.03, 7819.66, 7773.03, 7788.37
05/02/23, 7870.57, 7898.69, 7773.03, 7773.03
04/28/23, 7831.58, 7870.57, 7791.63, 7870.57
04/27/23, 7852.64, 7865.73, 7816.83, 7831.58
04/26/23, 7891.13, 7893.95, 7825.93, 7852.64
04/25/23, 7912.20, 7912.52, 7863.85, 7891.13
04/24/23, 7914.13, 7927.11, 7877.58, 7912.20
04/21/23, 7902.61, 7936.11, 7886.46, 7914.13
