Date, Open, High, Low, Close
06/09/23, 19333.43, 19463.61, 19231.13, 19389.95
06/08/23, 19227.84, 19339.82, 19087.66, 19299.18
06/07/23, 19327.15, 19410.48, 19196.09, 19252.00
06/06/23, 19117.11, 19377.38, 19033.85, 19099.28
06/05/23, 19014.96, 19123.80, 18896.13, 19108.50
06/02/23, 18566.81, 19024.91, 18548.30, 18949.94
06/01/23, 18190.27, 18465.64, 18190.27, 18216.91
05/31/23, 18415.00, 18415.00, 18044.86, 18234.27
05/30/23, 18574.19, 18666.71, 18369.93, 18595.78
05/29/23, 18827.08, 18879.09, 18517.86, 18551.11
05/25/23, 18930.23, 18930.23, 18620.84, 18746.92
05/24/23, 19279.39, 19304.20, 19046.80, 19115.93
05/23/23, 19713.46, 19769.14, 19363.50, 19431.25
05/22/23, 19479.06, 19806.44, 19410.07, 19678.17
05/19/23, 19535.49, 19610.72, 19352.81, 19450.57
05/18/23, 19702.73, 19894.23, 19630.76, 19727.25
05/17/23, 19956.13, 19987.93, 19538.09, 19560.57
05/16/23, 20183.28, 20183.28, 19891.49, 19978.25
05/15/23, 19525.06, 20063.35, 19498.04, 19971.13
05/12/23, 19850.84, 19853.37, 19596.49, 19627.24
05/11/23, 19842.98, 19854.49, 19567.62, 19743.79
05/10/23, 19860.50, 19880.03, 19696.59, 19762.20
05/09/23, 20252.13, 20297.83, 19817.78, 19867.58
05/08/23, 20128.18, 20321.74, 20081.70, 20297.03
05/05/23, 20061.00, 20208.75, 19968.41, 20049.31
05/04/23, 19695.73, 19979.77, 19695.73, 19948.73
05/03/23, 19686.15, 19721.96, 19538.72, 19699.16
05/02/23, 20122.90, 20286.46, 19761.13, 19933.81
04/28/23, 19936.02, 20167.88, 19879.07, 19894.57
04/27/23, 19736.35, 19880.29, 19662.60, 19840.28
04/26/23, 19520.97, 19903.73, 19520.97, 19757.27
04/25/23, 19903.53, 19910.28, 19527.63, 19617.88
04/24/23, 20049.87, 20146.37, 19734.68, 19959.94
04/21/23, 20330.15, 20378.90, 19974.91, 20075.73
04/20/23, 20354.83, 20472.50, 20308.33, 20396.97
04/19/23, 20633.00, 20633.00, 20336.71, 20367.76
04/18/23, 20643.41, 20742.39, 20559.08, 20650.51
04/17/23, 20374.51, 20864.74, 20299.15, 20782.45
04/14/23, 20422.72, 20482.68, 20297.16, 20438.81
04/13/23, 19977.96, 20344.48, 19885.53, 20344.48
04/12/23, 20481.53, 20494.81, 20236.92, 20309.86
04/11/23, 20566.59, 20750.73, 20293.37, 20485.24
04/06/23, 20146.22, 20343.86, 20099.48, 20331.20
04/04/23, 20364.36, 20364.36, 20126.90, 20274.59
04/03/23, 20379.50, 20475.43, 20226.95, 20409.18
03/31/23, 20583.88, 20721.97, 20357.41, 20400.11
03/30/23, 20216.79, 20320.02, 20017.17, 20309.13
03/29/23, 20348.64, 20437.69, 20107.73, 20192.40
03/28/23, 19688.31, 19875.11, 19559.47, 19784.65
03/27/23, 19851.79, 19938.77, 19509.49, 19567.69
03/24/23, 19919.65, 20118.29, 19834.45, 19915.68
03/23/23, 19619.74, 20051.26, 19523.50, 20049.64
03/22/23, 19428.36, 19775.69, 19428.36, 19591.43
03/21/23, 19118.87, 19295.64, 19018.10, 19258.76
03/20/23, 19352.90, 19382.97, 18829.11, 19000.71
03/17/23, 19439.84, 19597.18, 19303.29, 19518.59
03/16/23, 19197.97, 19388.77, 19109.07, 19203.91
03/15/23, 19523.49, 19745.44, 19431.09, 19539.87
03/14/23, 19524.51, 19639.52, 19122.82, 19247.96
03/13/23, 19411.88, 19791.64, 19390.38, 19695.97
03/10/23, 19580.78, 19637.72, 19281.97, 19319.92
03/09/23, 20082.42, 20157.24, 19907.58, 19925.74
03/08/23, 20256.89, 20269.93, 19969.47, 20051.25
03/07/23, 20606.83, 21005.66, 20358.78, 20534.48
03/06/23, 20437.87, 20702.75, 20410.00, 20603.19
03/03/23, 20703.14, 20727.25, 20498.16, 20567.54
03/02/23, 20390.02, 20548.57, 20321.25, 20429.46
03/01/23, 19849.97, 20674.07, 19849.97, 20619.71
02/28/23, 20020.17, 20185.05, 19783.07, 19785.94
02/27/23, 19821.03, 20086.53, 19804.56, 19943.51
02/24/23, 20223.67, 20233.64, 20006.78, 20010.04
02/23/23, 20339.15, 20601.22, 20323.24, 20351.35
02/22/23, 20512.49, 20620.98, 20344.86, 20423.84
02/21/23, 20859.50, 20941.30, 20503.05, 20529.49
02/20/23, 20681.47, 20973.67, 20606.85, 20886.96
02/17/23, 20958.63, 21056.68, 20703.74, 20719.81
02/16/23, 20947.07, 21306.54, 20887.70, 20987.67
02/15/23, 21116.84, 21117.58, 20726.83, 20812.17
02/14/23, 21235.92, 21237.88, 21074.94, 21113.76
02/13/23, 20910.08, 21230.15, 20799.91, 21164.42
02/10/23, 21559.44, 21579.99, 21157.52, 21190.42
02/09/23, 21154.25, 21637.55, 21151.27, 21624.36
02/08/23, 21283.90, 21443.48, 21178.87, 21283.52
02/07/23, 21288.39, 21512.21, 21259.21, 21298.70
02/06/23, 21349.17, 21349.17, 21085.72, 21222.16
02/03/23, 21811.08, 21820.78, 21459.65, 21660.47
02/02/23, 22276.23, 22311.96, 21930.53, 21958.36
02/01/23, 21920.80, 22072.18, 21703.60, 22072.18
01/31/23, 22190.27, 22284.32, 21631.55, 21842.33
01/30/23, 22579.88, 22623.81, 21992.51, 22069.73
01/27/23, 22614.92, 22700.85, 22483.78, 22688.90
01/26/23, 22386.37, 22566.78, 22329.07, 22566.78
01/20/23, 21812.46, 22051.77, 21754.35, 22044.65
01/19/23, 21452.26, 21754.08, 21383.03, 21650.98
01/18/23, 21514.80, 21691.67, 21422.19, 21678.00
01/17/23, 21678.05, 21797.62, 21417.25, 21577.64
01/16/23, 21818.65, 21947.55, 21572.51, 21746.72
01/13/23, 21605.07, 21770.08, 21474.98, 21738.66
01/12/23, 21599.82, 21698.94, 21223.84, 21514.10
01/11/23, 21463.82, 21686.30, 21327.41, 21436.05
01/10/23, 21370.42, 21395.42, 21187.73, 21331.46
01/09/23, 21295.94, 21470.69, 21216.92, 21388.34
01/06/23, 21220.89, 21282.71, 20862.77, 20991.64
01/05/23, 21295.87, 21396.09, 20962.40, 21052.17
01/04/23, 20319.98, 20793.11, 20233.39, 20793.11
01/03/23, 19570.43, 20212.55, 19303.73, 20145.29
12/30/22, 20030.85, 20073.92, 19781.41, 19781.41
12/29/22, 19648.40, 19764.52, 19539.84, 19741.14
12/28/22, 19787.94, 20099.77, 19787.94, 19898.91
12/23/22, 19382.23, 19686.77, 19380.47, 19593.06
12/22/22, 19537.45, 19735.00, 19475.68, 19679.22
12/21/22, 19190.91, 19255.74, 19063.30, 19160.49
12/20/22, 19156.94, 19283.14, 18885.20, 19094.80
12/19/22, 19472.21, 19786.29, 19255.95, 19352.81
12/16/22, 19343.70, 19621.13, 19130.53, 19450.67
12/15/22, 19612.67, 19675.68, 19233.86, 19368.59
12/14/22, 19775.33, 19859.75, 19528.71, 19673.45
12/13/22, 19458.02, 19707.75, 19382.30, 19596.20
12/12/22, 19594.52, 19718.08, 19366.22, 19463.63
12/09/22, 19484.23, 19926.48, 19404.50, 19900.87
