Date, Open, High, Low, Close
06/09/23, 13312.40, 13385.95, 13229.33, 13259.14
06/08/23, 13113.27, 13248.60, 13101.18, 13238.52
06/07/23, 13295.26, 13361.90, 13089.48, 13104.89
06/06/23, 13199.59, 13306.20, 13165.65, 13276.42
06/05/23, 13238.48, 13330.65, 13194.95, 13229.43
06/02/23, 13190.48, 13256.21, 13125.86, 13240.77
06/01/23, 12944.46, 13141.83, 12903.63, 13100.98
05/31/23, 12968.38, 13029.08, 12889.37, 12935.29
05/30/23, 13109.10, 13154.29, 12968.12, 13017.43
05/26/23, 12736.42, 13001.91, 12729.74, 12975.69
05/25/23, 12706.44, 12736.92, 12604.89, 12698.09
05/24/23, 12481.90, 12529.63, 12415.85, 12484.16
05/23/23, 12652.88, 12709.74, 12554.43, 12560.25
05/22/23, 12664.44, 12756.23, 12655.26, 12720.78
05/19/23, 12709.46, 12731.73, 12624.06, 12657.90
05/18/23, 12513.87, 12698.50, 12512.26, 12688.84
05/17/23, 12388.58, 12514.07, 12335.02, 12500.57
05/16/23, 12327.05, 12403.81, 12324.52, 12343.05
05/15/23, 12301.17, 12376.40, 12263.35, 12365.21
05/12/23, 12350.52, 12364.65, 12209.58, 12284.74
05/11/23, 12321.26, 12347.38, 12255.44, 12328.51
05/10/23, 12286.66, 12337.69, 12180.86, 12306.44
05/09/23, 12195.78, 12216.13, 12174.06, 12179.55
05/08/23, 12231.68, 12264.99, 12178.26, 12256.92
05/05/23, 12073.03, 12264.83, 12065.72, 12235.41
05/04/23, 11997.34, 12033.15, 11925.37, 11966.40
05/03/23, 12097.04, 12212.56, 12022.46, 12025.33
05/02/23, 12198.02, 12206.58, 12015.23, 12080.51
05/01/23, 12210.05, 12261.32, 12181.08, 12212.60
04/28/23, 12117.54, 12227.72, 12082.57, 12226.58
04/27/23, 11972.15, 12154.01, 11950.92, 12142.24
04/26/23, 11913.23, 11967.99, 11833.07, 11854.35
04/25/23, 11968.81, 11990.46, 11798.77, 11799.16
04/24/23, 12053.47, 12103.58, 11960.31, 12037.20
04/21/23, 12046.03, 12097.15, 11986.82, 12072.46
04/20/23, 12039.08, 12155.96, 12011.95, 12059.56
04/19/23, 12063.68, 12191.10, 12060.17, 12157.23
04/18/23, 12234.56, 12245.43, 12110.23, 12153.41
04/17/23, 12108.23, 12159.02, 12064.10, 12157.72
04/14/23, 12117.91, 12205.72, 12026.55, 12123.47
04/13/23, 11997.42, 12178.80, 11995.94, 12166.27
04/12/23, 12110.87, 12134.50, 11916.54, 11929.34
04/11/23, 12080.24, 12091.27, 12011.40, 12031.88
04/10/23, 11975.14, 12084.94, 11924.20, 12084.36
04/06/23, 11939.08, 12098.50, 11898.36, 12087.96
04/05/23, 12081.76, 12086.75, 11931.84, 11996.86
04/04/23, 12208.49, 12224.68, 12081.81, 12126.33
04/03/23, 12146.09, 12196.34, 12086.52, 12189.45
03/31/23, 12031.54, 12227.93, 12030.44, 12221.91
03/30/23, 12010.45, 12044.79, 11953.37, 12013.47
03/29/23, 11855.59, 11941.59, 11823.35, 11926.24
03/28/23, 11752.76, 11752.76, 11635.02, 11716.08
03/27/23, 11868.54, 11903.21, 11739.05, 11768.84
03/24/23, 11747.62, 11826.23, 11670.67, 11823.96
03/23/23, 11811.32, 11962.69, 11684.52, 11787.40
03/22/23, 11857.50, 12013.99, 11666.85, 11669.96
03/21/23, 11764.79, 11879.16, 11724.91, 11860.11
03/20/23, 11614.39, 11695.55, 11550.69, 11675.54
03/17/23, 11696.34, 11773.11, 11562.63, 11630.51
03/16/23, 11384.87, 11733.80, 11365.49, 11717.28
03/15/23, 11291.17, 11447.91, 11238.44, 11434.05
03/14/23, 11357.74, 11467.02, 11284.93, 11428.15
03/13/23, 11041.46, 11326.73, 10982.80, 11188.84
03/10/23, 11325.36, 11373.81, 11093.86, 11138.89
03/09/23, 11578.31, 11667.12, 11319.98, 11338.35
03/08/23, 11553.09, 11601.23, 11487.75, 11576.00
03/07/23, 11670.98, 11705.97, 11512.03, 11530.33
03/06/23, 11736.87, 11827.92, 11667.48, 11675.74
03/03/23, 11524.65, 11699.63, 11514.74, 11689.01
03/02/23, 11273.77, 11487.59, 11273.61, 11462.98
03/01/23, 11447.58, 11479.00, 11349.87, 11379.48
02/28/23, 11451.05, 11548.23, 11435.39, 11455.54
02/27/23, 11517.19, 11565.23, 11444.60, 11466.98
02/24/23, 11404.18, 11434.36, 11334.47, 11394.94
02/23/23, 11636.93, 11638.98, 11432.58, 11590.40
02/22/23, 11517.20, 11582.52, 11445.17, 11507.07
02/21/23, 11640.37, 11684.14, 11491.18, 11492.30
02/17/23, 11777.50, 11803.22, 11673.21, 11787.27
02/16/23, 11896.31, 12040.34, 11853.36, 11855.83
02/15/23, 11905.12, 12071.29, 11876.82, 12070.59
02/14/23, 11808.20, 11999.85, 11760.57, 11960.15
02/13/23, 11759.09, 11910.92, 11719.73, 11891.79
02/10/23, 11714.60, 11775.80, 11630.54, 11718.12
02/09/23, 12069.10, 12070.96, 11745.11, 11789.58
02/08/23, 12069.12, 12096.39, 11890.09, 11910.52
02/07/23, 11891.25, 12150.22, 11836.77, 12113.79
02/06/23, 11904.41, 11973.41, 11843.49, 11887.45
02/03/23, 11946.86, 12231.31, 11946.86, 12006.95
02/02/23, 12065.15, 12269.56, 12024.14, 12200.82
02/01/23, 11573.14, 11904.02, 11500.33, 11816.32
01/31/23, 11398.58, 11586.01, 11398.37, 11584.55
01/30/23, 11512.34, 11553.31, 11388.54, 11393.81
01/27/23, 11470.47, 11691.89, 11470.27, 11621.71
01/26/23, 11458.41, 11516.05, 11341.19, 11512.41
01/25/23, 11146.53, 11334.22, 11069.17, 11313.36
01/24/23, 11302.93, 11378.15, 11282.65, 11334.27
01/23/23, 11171.94, 11405.50, 11144.03, 11364.41
01/20/23, 10924.66, 11143.17, 10885.65, 11140.43
01/19/23, 10890.40, 10932.52, 10804.57, 10852.27
01/18/23, 11170.95, 11223.41, 10952.05, 10957.01
01/17/23, 11070.00, 11145.44, 11024.72, 11095.11
01/13/23, 10906.37, 11084.01, 10900.16, 11079.16
01/12/23, 10969.26, 11027.75, 10797.12, 11001.10
01/11/23, 10794.99, 10932.44, 10762.73, 10931.67
01/10/23, 10607.72, 10743.67, 10589.59, 10742.63
01/09/23, 10662.10, 10807.26, 10619.12, 10635.65
01/06/23, 10363.96, 10604.14, 10265.04, 10569.29
01/05/23, 10390.31, 10393.22, 10295.25, 10305.24
01/04/23, 10467.82, 10515.22, 10337.64, 10458.76
01/03/23, 10562.06, 10613.06, 10309.16, 10386.98
12/30/22, 10368.37, 10468.31, 10324.69, 10466.48
12/29/22, 10321.46, 10502.08, 10301.06, 10478.09
12/28/22, 10339.20, 10414.82, 10207.47, 10213.29
12/27/22, 10462.19, 10472.32, 10340.73, 10353.23
12/23/22, 10437.75, 10514.76, 10361.82, 10497.86
12/22/22, 10586.46, 10599.34, 10313.32, 10476.12
12/21/22, 10592.00, 10753.57, 10569.20, 10709.37
