Date, Open, High, Low, Close
06/09/23, 31927.38, 32304.04, 31898.75, 32265.17
06/08/23, 31877.79, 32035.95, 31420.45, 31641.27
06/07/23, 32618.78, 32708.53, 31913.74, 31913.74
06/06/23, 31988.37, 32534.47, 31933.87, 32506.78
06/05/23, 31864.12, 32217.43, 31798.72, 32217.43
06/02/23, 31300.72, 31555.54, 31257.01, 31524.22
06/01/23, 30886.01, 31185.05, 30853.44, 31148.01
05/31/23, 31057.09, 31142.78, 30785.98, 30887.88
05/30/23, 31196.24, 31374.83, 31064.19, 31328.16
05/29/23, 31388.01, 31560.43, 31164.00, 31233.54
05/26/23, 30909.61, 31101.60, 30864.49, 30916.31
05/25/23, 30599.27, 30889.98, 30558.14, 30801.13
05/24/23, 30728.69, 30856.92, 30566.83, 30682.68
05/23/23, 31245.72, 31352.53, 30828.73, 30957.77
05/22/23, 30735.71, 31086.82, 30689.27, 31086.82
05/19/23, 30847.36, 30924.57, 30679.16, 30808.35
05/18/23, 30432.54, 30667.13, 30381.90, 30573.93
05/17/23, 29912.44, 30115.32, 29912.44, 30093.59
05/16/23, 29838.01, 29916.56, 29779.07, 29842.99
05/15/23, 29547.04, 29629.47, 29475.97, 29626.34
05/12/23, 29199.30, 29426.06, 29141.52, 29388.30
05/11/23, 29110.79, 29165.59, 29028.71, 29126.72
05/10/23, 29189.41, 29195.16, 29070.11, 29122.18
05/09/23, 29020.63, 29262.36, 29020.63, 29242.82
05/08/23, 29095.46, 29144.12, 28931.81, 28949.88
05/02/23, 29278.80, 29278.80, 29083.13, 29157.95
05/01/23, 29058.05, 29145.89, 29016.83, 29123.18
04/28/23, 28705.91, 28879.24, 28499.51, 28856.44
04/27/23, 28340.59, 28459.73, 28241.67, 28457.68
04/26/23, 28478.52, 28551.61, 28319.77, 28416.47
04/25/23, 28697.73, 28806.69, 28609.77, 28620.07
04/24/23, 28631.78, 28680.65, 28567.24, 28593.52
04/21/23, 28590.55, 28778.37, 28527.80, 28564.37
04/20/23, 28472.00, 28694.25, 28442.45, 28657.57
04/19/23, 28619.84, 28677.22, 28531.54, 28606.76
04/18/23, 28567.54, 28698.22, 28520.76, 28658.83
04/17/23, 28537.99, 28599.75, 28414.98, 28514.78
04/14/23, 28321.54, 28515.51, 28282.82, 28493.47
