Date, Open, High, Low, Close
06/09/23, 3213.03, 3231.41, 3206.10, 3231.41
06/08/23, 3194.83, 3225.53, 3180.54, 3213.59
06/07/23, 3197.47, 3210.33, 3188.01, 3197.76
06/06/23, 3228.41, 3247.35, 3189.27, 3195.34
06/05/23, 3231.81, 3244.18, 3221.63, 3232.44
06/02/23, 3212.45, 3233.99, 3211.74, 3230.07
06/01/23, 3196.15, 3225.09, 3189.52, 3204.63
05/31/23, 3214.66, 3216.36, 3190.27, 3204.56
05/30/23, 3214.67, 3230.63, 3186.63, 3224.21
05/29/23, 3219.76, 3230.97, 3208.95, 3221.45
05/26/23, 3198.88, 3220.77, 3179.82, 3212.50
05/25/23, 3197.36, 3207.02, 3168.57, 3201.26
05/24/23, 3237.70, 3237.70, 3204.38, 3204.75
05/23/23, 3294.79, 3298.23, 3246.24, 3246.24
05/22/23, 3278.60, 3308.53, 3276.54, 3296.47
05/19/23, 3288.89, 3302.34, 3268.22, 3283.54
05/18/23, 3288.41, 3313.86, 3284.17, 3297.32
05/17/23, 3281.97, 3298.52, 3269.89, 3284.23
05/16/23, 3310.16, 3317.90, 3282.49, 3290.99
05/15/23, 3269.88, 3310.74, 3235.87, 3310.74
05/12/23, 3304.46, 3319.13, 3271.43, 3272.36
05/11/23, 3323.66, 3333.25, 3307.29, 3309.55
05/10/23, 3347.70, 3349.72, 3305.25, 3319.15
05/09/23, 3402.39, 3418.95, 3356.12, 3357.67
05/08/23, 3340.99, 3400.18, 3340.99, 3395.00
05/05/23, 3350.65, 3364.14, 3321.19, 3334.50
05/04/23, 3306.48, 3352.75, 3302.03, 3350.46
04/28/23, 3283.12, 3324.88, 3283.12, 3323.27
04/27/23, 3256.23, 3299.30, 3253.11, 3285.88
04/26/23, 3255.22, 3277.98, 3239.99, 3264.10
04/25/23, 3276.40, 3288.57, 3229.45, 3264.87
04/24/23, 3300.81, 3303.09, 3264.93, 3275.41
04/21/23, 3364.00, 3367.61, 3301.26, 3301.26
04/20/23, 3367.05, 3371.37, 3344.02, 3367.03
04/19/23, 3391.36, 3394.96, 3364.64, 3370.13
04/18/23, 3379.23, 3396.17, 3375.78, 3393.33
04/17/23, 3337.06, 3385.61, 3336.39, 3385.61
04/14/23, 3326.37, 3340.08, 3316.81, 3338.15
04/13/23, 3321.27, 3334.47, 3309.25, 3318.36
04/12/23, 3316.86, 3330.71, 3315.40, 3327.18
04/11/23, 3317.08, 3317.45, 3298.25, 3313.57
04/10/23, 3331.51, 3332.72, 3309.92, 3315.36
04/07/23, 3312.48, 3328.85, 3308.06, 3327.65
04/06/23, 3302.75, 3314.53, 3296.05, 3312.63
04/04/23, 3297.18, 3312.56, 3290.99, 3312.56
