Date, Open, High, Low, Close
06/09/23, 3186.60, 3191.11, 3179.03, 3186.97
06/08/23, 3186.61, 3186.61, 3170.21, 3186.61
06/07/23, 3179.58, 3195.22, 3173.74, 3179.58
06/06/23, 3185.06, 3192.25, 3175.76, 3190.11
06/05/23, 3211.63, 3223.38, 3181.32, 3189.01
06/01/23, 3162.52, 3176.17, 3155.52, 3166.30
05/31/23, 3177.17, 3181.06, 3156.15, 3158.80
05/30/23, 3194.33, 3203.90, 3186.17, 3187.56
05/29/23, 3195.22, 3231.64, 3192.48, 3195.22
05/26/23, 3207.39, 3213.86, 3201.00, 3207.39
05/25/23, 3204.24, 3213.23, 3195.95, 3207.72
05/24/23, 3214.21, 3214.21, 3204.74, 3214.21
05/23/23, 3216.08, 3218.08, 3218.08, 3218.08
05/22/23, 3211.09, 3211.14, 3188.44, 3211.09
05/19/23, 3185.26, 3207.24, 3184.91, 3202.59
05/18/23, 3186.43, 3196.48, 3179.67, 3182.55
05/17/23, 3173.84, 3208.92, 3168.79, 3173.84
05/16/23, 3214.04, 3227.89, 3206.22, 3214.04
05/15/23, 3214.72, 3216.31, 3196.86, 3214.72
05/12/23, 3208.55, 3223.87, 3196.09, 3208.55
05/11/23, 3229.55, 3247.45, 3219.92, 3229.55
05/10/23, 3255.61, 3242.29, 3242.29, 3242.29
05/09/23, 3253.11, 3254.29, 3237.64, 3242.95
05/08/23, 3274.29, 3276.19, 3253.50, 3257.66
05/05/23, 3267.17, 3271.15, 3258.65, 3266.63
05/04/23, 3254.49, 3269.36, 3249.39, 3269.18
05/03/23, 3260.98, 3262.01, 3262.01, 3262.01
05/02/23, 3291.43, 3309.68, 3273.99, 3281.99
04/28/23, 3281.25, 3284.94, 3266.11, 3270.51
04/27/23, 3275.27, 3287.08, 3271.31, 3282.03
04/26/23, 3285.58, 3299.33, 3281.32, 3293.91
04/25/23, 3319.72, 3325.45, 3288.59, 3296.56
04/24/23, 3320.25, 3326.88, 3307.78, 3324.55
04/21/23, 3308.43, 3321.82, 3300.86, 3321.82
04/20/23, 3321.06, 3329.52, 3305.33, 3313.41
04/19/23, 3310.40, 3326.15, 3307.36, 3324.05
04/18/23, 3314.19, 3323.27, 3298.73, 3309.56
04/17/23, 3307.46, 3319.26, 3299.28, 3319.26
04/14/23, 3305.67, 3315.85, 3300.82, 3302.66
04/13/23, 3282.59, 3297.05, 3280.07, 3294.54
04/12/23, 3302.94, 3302.95, 3278.21, 3286.12
04/11/23, 3296.47, 3309.17, 3287.23, 3297.83
04/10/23, 3306.61, 3311.05, 3288.72, 3294.43
04/06/23, 3311.34, 3314.74, 3291.65, 3300.48
04/05/23, 3312.13, 3331.66, 3301.09, 3318.87
04/04/23, 3294.73, 3316.17, 3288.95, 3311.12
04/03/23, 3272.48, 3287.44, 3263.36, 3281.08
03/31/23, 3265.01, 3273.47, 3255.59, 3258.90
03/30/23, 3256.73, 3262.67, 3238.98, 3257.18
03/29/23, 3254.47, 3270.38, 3242.49, 3262.54
03/28/23, 3255.22, 3266.98, 3243.25, 3255.54
03/27/23, 3225.70, 3247.50, 3223.45, 3239.03
03/24/23, 3210.97, 3223.93, 3200.90, 3212.64
03/23/23, 3204.84, 3223.03, 3191.99, 3219.00
03/22/23, 3193.68, 3228.61, 3189.65, 3220.98
03/21/23, 3162.13, 3186.69, 3157.81, 3173.93
03/20/23, 3179.05, 3179.05, 3123.55, 3139.76
03/17/23, 3179.66, 3185.25, 3162.35, 3183.28
03/16/23, 3142.98, 3176.67, 3134.03, 3155.54
03/15/23, 3157.93, 3186.92, 3157.93, 3172.92
03/14/23, 3101.29, 3139.27, 3094.28, 3129.75
03/13/23, 3165.82, 3175.87, 3132.37, 3132.37
03/10/23, 3198.94, 3199.94, 3169.80, 3177.43
03/09/23, 3227.21, 3232.28, 3211.03, 3214.51
03/08/23, 3241.76, 3242.53, 3215.58, 3226.86
03/07/23, 3240.12, 3264.72, 3233.35, 3245.27
03/06/23, 3240.47, 3246.44, 3224.95, 3239.31
03/03/23, 3244.20, 3251.29, 3230.42, 3232.02
03/02/23, 3251.73, 3256.24, 3225.62, 3234.90
03/01/23, 3265.50, 3275.10, 3255.08, 3255.08
02/28/23, 3270.00, 3285.25, 3260.58, 3262.63
02/27/23, 3272.17, 3285.79, 3261.95, 3263.24
02/24/23, 3264.45, 3290.41, 3264.45, 3282.30
02/23/23, 3302.65, 3303.44, 3264.93, 3264.93
02/22/23, 3305.88, 3309.50, 3291.04, 3300.04
02/21/23, 3313.37, 3315.86, 3298.30, 3306.86
02/20/23, 3330.52, 3330.66, 3307.43, 3308.75
02/17/23, 3300.66, 3330.83, 3300.16, 3328.37
